Mod:Item:MetaData, Localized Name
aeadditions:pattern.fluid:0, ME Fluid Pattern: Latex
aeadditions:pattern.fluid:0, ME Fluid Pattern: Sewage
aeadditions:pattern.fluid:0, ME Fluid Pattern: Sludge
aeadditions:pattern.fluid:0, ME Fluid Pattern: Biofuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Pink Slime
aeadditions:pattern.fluid:0, ME Fluid Pattern: Protein
aeadditions:pattern.fluid:0, ME Fluid Pattern: Raw Ore Meat
aeadditions:pattern.fluid:0, ME Fluid Pattern: Fermented Ore Meat
aeadditions:pattern.fluid:0, ME Fluid Pattern: Menril Resin
aeadditions:pattern.fluid:0, ME Fluid Pattern: Liquid Chorus
aeadditions:pattern.fluid:0, ME Fluid Pattern: Deuterium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Tritium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Helium-3
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Boron
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Boron-10
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Boron-11
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Lithium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Lithium-6
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Lithium-7
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Ferroboron
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Tough Alloy
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Hard Carbon
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Beryllium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Manganese
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Manganese Dioxide
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Sulfur
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Arsenic
aeadditions:pattern.fluid:0, ME Fluid Pattern: Liquid Helium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Liquid Nitrogen
aeadditions:pattern.fluid:0, ME Fluid Pattern: Plasma
aeadditions:pattern.fluid:0, ME Fluid Pattern: Neutron Fluid
aeadditions:pattern.fluid:0, ME Fluid Pattern: Methanol
aeadditions:pattern.fluid:0, ME Fluid Pattern: RadAway Fluid
aeadditions:pattern.fluid:0, ME Fluid Pattern: Slow-Acting RadAway Fluid
aeadditions:pattern.fluid:0, ME Fluid Pattern: Fluorine
aeadditions:pattern.fluid:0, ME Fluid Pattern: Carbon Dioxide
aeadditions:pattern.fluid:0, ME Fluid Pattern: Carbon Monoxide
aeadditions:pattern.fluid:0, ME Fluid Pattern: Ethylene
aeadditions:pattern.fluid:0, ME Fluid Pattern: Fluoromethane
aeadditions:pattern.fluid:0, ME Fluid Pattern: Ammonia
aeadditions:pattern.fluid:0, ME Fluid Pattern: Oxygen Difluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Diborane
aeadditions:pattern.fluid:0, ME Fluid Pattern: Sulfur Dioxide
aeadditions:pattern.fluid:0, ME Fluid Pattern: Sulfur Trioxide
aeadditions:pattern.fluid:0, ME Fluid Pattern: Hydrofluoric Acid
aeadditions:pattern.fluid:0, ME Fluid Pattern: Boric Acid
aeadditions:pattern.fluid:0, ME Fluid Pattern: Sulfuric Acid
aeadditions:pattern.fluid:0, ME Fluid Pattern: Boron Nitride Solution
aeadditions:pattern.fluid:0, ME Fluid Pattern: Fluorite Water
aeadditions:pattern.fluid:0, ME Fluid Pattern: Calcium Sulfate Solution
aeadditions:pattern.fluid:0, ME Fluid Pattern: Sodium Fluoride Solution
aeadditions:pattern.fluid:0, ME Fluid Pattern: Potassium Fluoride Solution
aeadditions:pattern.fluid:0, ME Fluid Pattern: Sodium Hydroxide Solution
aeadditions:pattern.fluid:0, ME Fluid Pattern: Potassium Hydroxide Solution
aeadditions:pattern.fluid:0, ME Fluid Pattern: Borax Solution
aeadditions:pattern.fluid:0, ME Fluid Pattern: Corium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Chocolate Liquor
aeadditions:pattern.fluid:0, ME Fluid Pattern: Cocoa Butter
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Unsweetened Chocolate
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Dark Chocolate
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Milk Chocolate
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Sugar
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Gelatin
aeadditions:pattern.fluid:0, ME Fluid Pattern: Hydrated Gelatin
aeadditions:pattern.fluid:0, ME Fluid Pattern: Liquid Marshmallow
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Lithium Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Beryllium Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Mixture
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Sodium Hydroxide
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Potassium Hydroxide
aeadditions:pattern.fluid:0, ME Fluid Pattern: High Pressure Steam
aeadditions:pattern.fluid:0, ME Fluid Pattern: Exhaust Steam
aeadditions:pattern.fluid:0, ME Fluid Pattern: Low Pressure Steam
aeadditions:pattern.fluid:0, ME Fluid Pattern: Low Quality Steam
aeadditions:pattern.fluid:0, ME Fluid Pattern: Preheated Water
aeadditions:pattern.fluid:0, ME Fluid Pattern: Condensate Water
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Sodium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Potassium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Eutectic NaK Alloy
aeadditions:pattern.fluid:0, ME Fluid Pattern: Hot Eutectic NaK Alloy
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Boron Arsenide
aeadditions:pattern.fluid:0, ME Fluid Pattern: Silicon Carbide Vapor
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Alugentum
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Alumina
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Thorium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Thorium Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Thorium Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Uranium Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Uranium Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Plutonium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Plutonium Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Plutonium Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Thorium-230
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Thorium-230 Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Thorium-230 Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Uranium-233
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Uranium-233 Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Uranium-233 Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Uranium-235
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Uranium-235 Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Uranium-235 Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Uranium-238
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Uranium-238 Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Uranium-238 Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Neptunium-236
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Neptunium-236 Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Neptunium-236 Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Neptunium-237
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Neptunium-237 Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Neptunium-237 
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Plutonium-238
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Plutonium-238 Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Plutonium-238 Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Plutonium-239
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Plutonium-239 Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Plutonium-239 Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Plutonium-241
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Plutonium-241 Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Plutonium-241 Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Plutonium-242
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Plutonium-242 Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Plutonium-242 Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Americium-241
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Americium-241 Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Americium-241 Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Americium-242
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Americium-242 Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Americium-242 Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Americium-243
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Americium-243 Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Americium-243 Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Curium-243
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Curium-243 Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Curium-243 Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Curium-245
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Curium-245 Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Curium-245 Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Curium-246
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Curium-246 Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Curium-246 Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Curium-247
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Curium-247 Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Curium-247 Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Berkelium-247
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Berkelium-247 Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Berkelium-247 Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Berkelium-248
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Berkelium-248 Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Berkelium-248 Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Californium-249
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Californium-249 Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Californium-249 Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Californium-250
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Californium-250 Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Californium-250 Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Californium-251
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Californium-251 Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Californium-251 Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Californium-252
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Californium-252 Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Californium-252 Fluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten TBU Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten TBU Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of TBU Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten LEU-233 Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten LEU-233 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of LEU-233 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten HEU-233 Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten HEU-233 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of HEU-233 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten LEU-235 Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten LEU-235 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of LEU-235 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten HEU-235 Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten HEU-235 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of HEU-235 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten LEN-236 Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten LEN-236 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of LEN-236 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten HEN-236 Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten HEN-236 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of HEN-236 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten LEP-239 Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten LEP-239 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of LEP-239 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten HEP-239 Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten HEP-239 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of HEP-239 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten LEP-241 Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten LEP-241 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of LEP-241 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten HEP-241 Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten HEP-241 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of HEP-241 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten LEA-242 Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten LEA-242 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of LEA-242 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten HEA-242 Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten HEA-242 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of HEA-242 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten LECm-243 Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten LECm-243 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of LECm-243 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten HECm-243 Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten HECm-243 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of HECm-243 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten LECm-245 Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten LECm-245 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of LECm-245 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten HECm-245 Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten HECm-245 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of HECm-245 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten LECm-247 Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten LECm-247 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of LECm-247 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten HECm-247 Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten HECm-247 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of HECm-247 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten LEB-248 Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten LEB-248 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of LEB-248 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten HEB-248 Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten HEB-248 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of HEB-248 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten LECf-249 Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten LECf-249 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of LECf-249 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten HECf-249 Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten HECf-249 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of HECf-249 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten LECf-251 Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten LECf-251 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of LECf-251 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten HECf-251 Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten HECf-251 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of HECf-251 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted TBU Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted TBU Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Depleted TBU Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted LEU-233 Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted LEU-233 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Depleted LEU-233 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted HEU-233 Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted HEU-233 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Depleted HEU-233 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted LEU-235 Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted LEU-235 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Depleted LEU-235 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted HEU-235 Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted HEU-235 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Depleted HEU-235 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted LEN-236 Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted LEN-236 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Depleted LEN-236 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted HEN-236 Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted HEN-236 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Depleted HEN-236 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted LEP-239 Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted LEP-239 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Depleted LEP-239 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted HEP-239 Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted HEP-239 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Depleted HEP-239 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted LEP-241 Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted LEP-241 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Depleted LEP-241 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted HEP-241 Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted HEP-241 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Depleted HEP-241 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted LEA-242 Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted LEA-242 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Depleted LEA-242 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted HEA-242 Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted HEA-242 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Depleted HEA-242 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted LECm-243 Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted LECm-243 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Depleted LECm-243 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted HECm-243 Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted HECm-243 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Depleted HECm-243 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted LECm-245 Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted LECm-245 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Depleted LECm-245 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted HECm-245 Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted HECm-245 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Depleted HECm-245 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted LECm-247 Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted LECm-247 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Depleted LECm-247 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted HECm-247 Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted HECm-247 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Depleted HECm-247 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted LEB-248 Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted LEB-248 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Depleted LEB-248 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted HEB-248 Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted HEB-248 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Depleted HEB-248 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted LECf-249 Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted LECf-249 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Depleted LECf-249 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted HECf-249 Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted HECf-249 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Depleted HECf-249 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted LECf-251 Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted LECf-251 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Depleted LECf-251 Fluoride Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted HECf-251 Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Depleted HECf-251 Fluoride Fuel
